marque,model,Puissance fiscale,Carburant,Année,Boite de vitesses,etat,price
kia,Ceed,6.0,Diesel,2009,Manuelle,0,79000.0
toyota,Land,11.0,Diesel,2016,Manuelle,0,200000.0
mercedes,Classe,8.0,Diesel,2019,Automatique,0,343872.0
fiat,Panda,7.0,Essence,2023,Manuelle,0,108000.0
fiat,500x,6.0,Diesel,2023,Manuelle,0,229000.0
jeep,Renegade,6.0,Diesel,2022,Manuelle,0,285000.0
fiat,Doblo,6.0,Diesel,2023,Manuelle,0,149000.0
alfa-romeo,Giulietta,8.0,Diesel,2023,Automatique,0,245000.0
jeep,Renegade,6.0,Diesel,2019,Automatique,0,217500.0
jeep,Renegade,6.0,Diesel,2019,Automatique,0,209000.0
fiat,500,7.0,Essence,2020,Automatique,0,121000.0
alfa-romeo,Tonale,8.0,Hybride,2022,Automatique,0,370000.0
fiat,Fiorino,5.0,Diesel,2023,Manuelle,0,125000.0
hyundai,Santa,9.0,Diesel,2010,Manuelle,0,85000.0
volkswagen,Golf,8.0,Diesel,2005,Manuelle,0,85000.0
volkswagen,Golf,8.0,Essence,2021,Automatique,0,450000.0
toyota,Yaris,4.0,Essence,2018,Manuelle,0,95000.0
bmw,Serie,6.0,Diesel,2017,Manuelle,0,175000.0
bmw,Serie,8.0,Diesel,2019,Automatique,0,495000.0
hyundai,Tucson,6.0,Diesel,2022,Automatique,0,360000.0
bmw,X5,12.0,Diesel,2019,Automatique,0,730000.0
opel,Mokka,6.0,Diesel,2022,Manuelle,0,243000.0
opel,Astra,6.0,Diesel,2022,Automatique,0,290000.0
ford,Fiesta,6.0,Essence,2020,Manuelle,0,124000.0
nissan,Juke,6.0,Essence,2021,Manuelle,0,208000.0
hyundai,Tucson,8.0,Diesel,2017,Automatique,0,230000.0
nissan,Juke,6.0,Essence,2022,Automatique,0,209000.0
volvo,V40,8.0,Diesel,2018,Automatique,0,185000.0
bmw,Serie,7.0,Diesel,2021,Automatique,0,350000.0
porsche,Cayenne,11.0,Hybride,2020,Automatique,0,1270000.0
bmw,X1,8.0,Diesel,2019,Automatique,0,288000.0
skoda,Octavia,8.0,Diesel,2020,Automatique,0,199000.0
skoda,Kodiaq,8.0,Diesel,2019,Automatique,0,269000.0
renault,Clio,6.0,Diesel,2020,Manuelle,0,137000.0
toyota,C-hr,10.0,Hybride,2017,Automatique,0,185000.0
hyundai,Elantra,6.0,Diesel,2019,Manuelle,0,158000.0
volkswagen,Golf,8.0,Diesel,2018,Automatique,0,200000.0
hyundai,Tucson,6.0,Diesel,2021,Automatique,0,288000.0
smart,Fortwo,6.0,Diesel,2009,Automatique,0,75000.0
mercedes,Classe,9.0,Diesel,2019,Automatique,0,395000.0
renault,Clio,6.0,Diesel,2021,Manuelle,0,155000.0
peugeot,208,6.0,Diesel,2022,Automatique,0,197000.0
renault,Clio,6.0,Diesel,2021,Automatique,0,148000.0
citroen,C4,6.0,Diesel,2023,Automatique,0,255000.0
volkswagen,Caddy,8.0,Diesel,2017,Automatique,0,289000.0
volkswagen,Tiguan,8.0,Diesel,2017,Automatique,0,238000.0
peugeot,3008,8.0,Diesel,2020,Automatique,0,289000.0
bmw,X1,8.0,Diesel,2019,Automatique,0,338000.0
mercedes,Gle,8.0,Hybride,2024,Automatique,0,1580000.0
volkswagen,Touareg,12.0,Diesel,2013,Automatique,0,145000.0
bmw,Serie,12.0,Diesel,2019,Automatique,0,920000.0
audi,Q3,8.0,Diesel,2023,Automatique,0,780000.0
land-rover,Range,11.0,Essence,2022,Automatique,0,850000.0
audi,Q5,8.0,Diesel,2019,Automatique,0,420000.0
maserati,Ghibli,12.0,Diesel,2017,Automatique,0,380000.0
maserati,Levante,12.0,Diesel,2018,Automatique,0,520000.0
bmw,Serie,8.0,Diesel,2020,Automatique,0,450000.0
land-rover,Range,12.0,Diesel,2015,Automatique,0,440000.0
fiat,500,7.0,Essence,2023,Automatique,0,145000.0
fiat,Scudo,8.0,Diesel,2016,Manuelle,0,135000.0
fiat,Panda,7.0,Essence,2023,Manuelle,0,125000.0
jeep,Renegade,6.0,Diesel,2019,Automatique,0,201000.0
alfa-romeo,Tonale,8.0,Hybride,2022,Automatique,0,360000.0
